descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,LINZ E1,E1 CERRAMIENTO PERIMETRAL Excavacion cimentacion,Diseños,2024-06-27 00:00:00
BOGOTA ,LINZ E1,T1 aptos Mortero,Materiales,2024-06-05 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,SOTANO ZA - AMARRE VIGAS DE CIMENTACIÓN,Contratos,2024-06-25 00:00:00
BOGOTA ,PASEO SAN RAFAEL,PQDERO SUPERFICIE E1 Replanteo y nivelacion de subrasante,Contratos,2024-04-23 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,SOTANO PARQ - Aseo general,Contratos,2024-07-09 00:00:00
BOGOTA ,LINZ E1,SUBESTACION ELEC estructura,Diseños,2024-08-29 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,T01 Nomenclatura torre,Contratos,2024-07-29 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,PROGRAMA DE MANEJO AMBIENTAL DE RCD,Contratos,2024-02-14 00:00:00
BOGOTA ,LORCA,T1 aptos Mortero,Contratos,2024-04-10 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T 1-2-3 Excavaciones internas Aguas Lluvias,Contratos no Categorizables,2024-11-14 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,1ER CH - Cieloraso en Drywall,Contratos,2023-08-29 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,PQDERO CIM Descabece de pilotes,Contratos,2024-04-25 00:00:00
BOGOTA ,LINZ E1,T1 aptos Mortero,Materiales,2024-06-27 00:00:00
BOGOTA ,LINZ E1,Zonas comunes red de baja tension,Contratos,2024-06-12 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T1 ACABADOS CUBIERTA TRANSITABLE,Contratos no Categorizables,2024-11-14 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T2 IMPERMEABILIZACIÓN CUBIERTA,Contratos,2024-06-11 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,CH ASCENSOR,Seguridad y Espacio,2024-07-31 00:00:00
BOGOTA ,CADIZ,T1 DRYWALL FACHADA,Contratos,
BOGOTA ,LYON CIUDAD LA SALLE,T1 ARMADA Y FUNDIDA PILOTES,Contratos,
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,Z.SOCIAL E2 - Placa Cubierta,Diseños,
